,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.5,0.1,100
1,0,0,1,0.5,0.1,100
2,0,0,2,0.5,0.1,145
3,0,0,3,0.5,0.1,218
4,0,0,4,0.5,0.1,302
5,0,0,5,0.5,0.1,359
6,0,0,6,0.5,0.1,389
7,0,0,7,0.5,0.1,358
8,0,0,8,0.5,0.1,268
9,0,0,9,0.5,0.1,184
10,0,0,10,0.5,0.1,125
11,0,0,11,0.5,0.1,71
12,0,0,12,0.5,0.1,38
13,0,0,13,0.5,0.1,12
14,1,1,0,0.5,0.1,100
15,1,1,1,0.5,0.1,100
16,1,1,2,0.5,0.1,152
17,1,1,3,0.5,0.1,222
18,1,1,4,0.5,0.1,277
19,1,1,5,0.5,0.1,344
20,1,1,6,0.5,0.1,380
21,1,1,7,0.5,0.1,373
22,1,1,8,0.5,0.1,299
23,1,1,9,0.5,0.1,219
24,1,1,10,0.5,0.1,98
25,1,1,11,0.5,0.1,48
26,1,1,12,0.5,0.1,26
27,1,1,13,0.5,0.1,14
28,1,1,14,0.5,0.1,10
29,1,1,15,0.5,0.1,11
30,1,1,16,0.5,0.1,4
