,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.05,0.0,100
1,0,0,1,0.05,0.0,100
2,0,0,2,0.05,0.0,102
3,0,0,3,0.05,0.0,108
4,0,0,4,0.05,0.0,108
5,0,0,5,0.05,0.0,107
6,0,0,6,0.05,0.0,105
7,0,0,7,0.05,0.0,103
8,0,0,8,0.05,0.0,100
9,0,0,9,0.05,0.0,103
10,0,0,10,0.05,0.0,104
11,0,0,11,0.05,0.0,106
12,0,0,12,0.05,0.0,102
13,0,0,13,0.05,0.0,104
14,0,0,14,0.05,0.0,101
15,0,0,15,0.05,0.0,93
16,0,0,16,0.05,0.0,86
17,0,0,17,0.05,0.0,81
18,0,0,18,0.05,0.0,78
19,0,0,19,0.05,0.0,74
20,0,0,20,0.05,0.0,71
21,0,0,21,0.05,0.0,66
22,0,0,22,0.05,0.0,62
23,0,0,23,0.05,0.0,58
24,0,0,24,0.05,0.0,53
25,0,0,25,0.05,0.0,47
26,0,0,26,0.05,0.0,44
27,0,0,27,0.05,0.0,40
28,0,0,28,0.05,0.0,37
29,0,0,29,0.05,0.0,32
30,0,0,30,0.05,0.0,29
31,0,0,31,0.05,0.0,29
32,0,0,32,0.05,0.0,30
33,0,0,33,0.05,0.0,24
34,0,0,34,0.05,0.0,19
35,0,0,35,0.05,0.0,18
36,0,0,36,0.05,0.0,13
37,0,0,37,0.05,0.0,10
38,0,0,38,0.05,0.0,9
39,0,0,39,0.05,0.0,7
40,0,0,40,0.05,0.0,6
41,0,0,41,0.05,0.0,4
42,0,0,42,0.05,0.0,4
43,0,0,43,0.05,0.0,4
44,0,0,44,0.05,0.0,4
45,0,0,45,0.05,0.0,2
46,0,0,46,0.05,0.0,2
47,0,0,47,0.05,0.0,2
48,1,1,0,0.05,0.0,100
49,1,1,1,0.05,0.0,100
50,1,1,2,0.05,0.0,103
51,1,1,3,0.05,0.0,107
52,1,1,4,0.05,0.0,109
53,1,1,5,0.05,0.0,107
54,1,1,6,0.05,0.0,106
55,1,1,7,0.05,0.0,105
56,1,1,8,0.05,0.0,106
57,1,1,9,0.05,0.0,106
58,1,1,10,0.05,0.0,106
59,1,1,11,0.05,0.0,102
60,1,1,12,0.05,0.0,101
61,1,1,13,0.05,0.0,94
62,1,1,14,0.05,0.0,90
63,1,1,15,0.05,0.0,91
64,1,1,16,0.05,0.0,88
65,1,1,17,0.05,0.0,87
66,1,1,18,0.05,0.0,79
67,1,1,19,0.05,0.0,75
68,1,1,20,0.05,0.0,69
69,1,1,21,0.05,0.0,65
70,1,1,22,0.05,0.0,60
71,1,1,23,0.05,0.0,48
72,1,1,24,0.05,0.0,42
73,1,1,25,0.05,0.0,32
74,1,1,26,0.05,0.0,32
75,1,1,27,0.05,0.0,35
76,1,1,28,0.05,0.0,35
77,1,1,29,0.05,0.0,30
78,1,1,30,0.05,0.0,28
79,1,1,31,0.05,0.0,28
80,1,1,32,0.05,0.0,24
81,1,1,33,0.05,0.0,23
82,1,1,34,0.05,0.0,15
83,1,1,35,0.05,0.0,14
84,1,1,36,0.05,0.0,12
85,1,1,37,0.05,0.0,9
86,1,1,38,0.05,0.0,9
87,1,1,39,0.05,0.0,9
88,1,1,40,0.05,0.0,9
89,1,1,41,0.05,0.0,7
90,1,1,42,0.05,0.0,2
91,1,1,43,0.05,0.0,2
92,1,1,44,0.05,0.0,1
93,1,1,45,0.05,0.0,1
94,1,1,46,0.05,0.0,1
95,1,1,47,0.05,0.0,1
96,1,1,48,0.05,0.0,1
97,1,1,49,0.05,0.0,1
98,1,1,50,0.05,0.0,1
99,1,1,51,0.05,0.0,1
100,1,1,52,0.05,0.0,1
101,1,1,53,0.05,0.0,1
102,1,1,54,0.05,0.0,1
