,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.05,0.5,100
1,0,0,1,0.05,0.5,100
2,0,0,2,0.05,0.5,105
3,0,0,3,0.05,0.5,115
4,0,0,4,0.05,0.5,112
5,0,0,5,0.05,0.5,111
6,0,0,6,0.05,0.5,110
7,0,0,7,0.05,0.5,107
8,0,0,8,0.05,0.5,106
9,0,0,9,0.05,0.5,106
10,0,0,10,0.05,0.5,105
11,0,0,11,0.05,0.5,111
12,0,0,12,0.05,0.5,112
13,0,0,13,0.05,0.5,114
14,0,0,14,0.05,0.5,119
15,0,0,15,0.05,0.5,120
16,0,0,16,0.05,0.5,126
17,0,0,17,0.05,0.5,131
18,0,0,18,0.05,0.5,140
19,0,0,19,0.05,0.5,145
20,0,0,20,0.05,0.5,147
21,0,0,21,0.05,0.5,153
22,0,0,22,0.05,0.5,155
23,0,0,23,0.05,0.5,163
24,0,0,24,0.05,0.5,168
25,0,0,25,0.05,0.5,168
26,0,0,26,0.05,0.5,178
27,0,0,27,0.05,0.5,180
28,0,0,28,0.05,0.5,182
29,0,0,29,0.05,0.5,188
30,0,0,30,0.05,0.5,190
31,0,0,31,0.05,0.5,197
32,0,0,32,0.05,0.5,203
33,0,0,33,0.05,0.5,204
34,0,0,34,0.05,0.5,211
35,0,0,35,0.05,0.5,220
36,0,0,36,0.05,0.5,218
37,0,0,37,0.05,0.5,225
38,0,0,38,0.05,0.5,234
39,0,0,39,0.05,0.5,245
40,0,0,40,0.05,0.5,249
41,0,0,41,0.05,0.5,256
42,0,0,42,0.05,0.5,258
43,0,0,43,0.05,0.5,257
44,0,0,44,0.05,0.5,263
45,0,0,45,0.05,0.5,277
46,0,0,46,0.05,0.5,293
47,0,0,47,0.05,0.5,299
48,0,0,48,0.05,0.5,311
49,0,0,49,0.05,0.5,318
50,0,0,50,0.05,0.5,333
51,0,0,51,0.05,0.5,344
52,0,0,52,0.05,0.5,349
53,0,0,53,0.05,0.5,353
54,0,0,54,0.05,0.5,359
55,0,0,55,0.05,0.5,355
56,0,0,56,0.05,0.5,354
57,0,0,57,0.05,0.5,361
58,0,0,58,0.05,0.5,360
59,0,0,59,0.05,0.5,364
60,0,0,60,0.05,0.5,374
61,0,0,61,0.05,0.5,372
62,0,0,62,0.05,0.5,372
63,0,0,63,0.05,0.5,369
64,0,0,64,0.05,0.5,377
65,0,0,65,0.05,0.5,386
66,0,0,66,0.05,0.5,397
67,0,0,67,0.05,0.5,401
68,0,0,68,0.05,0.5,411
69,0,0,69,0.05,0.5,410
70,0,0,70,0.05,0.5,417
71,0,0,71,0.05,0.5,416
72,0,0,72,0.05,0.5,408
73,0,0,73,0.05,0.5,406
74,0,0,74,0.05,0.5,402
75,0,0,75,0.05,0.5,399
76,0,0,76,0.05,0.5,399
77,0,0,77,0.05,0.5,396
78,0,0,78,0.05,0.5,394
79,0,0,79,0.05,0.5,385
80,0,0,80,0.05,0.5,389
81,0,0,81,0.05,0.5,380
82,0,0,82,0.05,0.5,379
83,0,0,83,0.05,0.5,382
84,0,0,84,0.05,0.5,383
85,0,0,85,0.05,0.5,384
86,0,0,86,0.05,0.5,385
87,0,0,87,0.05,0.5,381
88,0,0,88,0.05,0.5,373
89,0,0,89,0.05,0.5,369
90,0,0,90,0.05,0.5,372
91,0,0,91,0.05,0.5,372
92,0,0,92,0.05,0.5,365
93,0,0,93,0.05,0.5,361
94,0,0,94,0.05,0.5,371
95,0,0,95,0.05,0.5,369
96,0,0,96,0.05,0.5,374
97,0,0,97,0.05,0.5,384
98,0,0,98,0.05,0.5,389
99,0,0,99,0.05,0.5,390
100,0,0,100,0.05,0.5,387
101,1,1,0,0.05,0.5,100
102,1,1,1,0.05,0.5,100
103,1,1,2,0.05,0.5,105
104,1,1,3,0.05,0.5,111
105,1,1,4,0.05,0.5,120
106,1,1,5,0.05,0.5,113
107,1,1,6,0.05,0.5,111
108,1,1,7,0.05,0.5,110
109,1,1,8,0.05,0.5,109
110,1,1,9,0.05,0.5,111
111,1,1,10,0.05,0.5,110
112,1,1,11,0.05,0.5,115
113,1,1,12,0.05,0.5,118
114,1,1,13,0.05,0.5,124
115,1,1,14,0.05,0.5,126
116,1,1,15,0.05,0.5,133
117,1,1,16,0.05,0.5,141
118,1,1,17,0.05,0.5,147
119,1,1,18,0.05,0.5,153
120,1,1,19,0.05,0.5,163
121,1,1,20,0.05,0.5,168
122,1,1,21,0.05,0.5,172
123,1,1,22,0.05,0.5,177
124,1,1,23,0.05,0.5,182
125,1,1,24,0.05,0.5,180
126,1,1,25,0.05,0.5,187
127,1,1,26,0.05,0.5,186
128,1,1,27,0.05,0.5,191
129,1,1,28,0.05,0.5,199
130,1,1,29,0.05,0.5,204
131,1,1,30,0.05,0.5,204
132,1,1,31,0.05,0.5,208
133,1,1,32,0.05,0.5,211
134,1,1,33,0.05,0.5,210
135,1,1,34,0.05,0.5,215
136,1,1,35,0.05,0.5,219
137,1,1,36,0.05,0.5,227
138,1,1,37,0.05,0.5,235
139,1,1,38,0.05,0.5,235
140,1,1,39,0.05,0.5,248
141,1,1,40,0.05,0.5,256
142,1,1,41,0.05,0.5,268
