,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.1,0.05,100
1,0,0,1,0.1,0.05,100
2,0,0,2,0.1,0.05,116
3,0,0,3,0.1,0.05,129
4,0,0,4,0.1,0.05,135
5,0,0,5,0.1,0.05,136
6,0,0,6,0.1,0.05,139
7,0,0,7,0.1,0.05,153
8,0,0,8,0.1,0.05,152
9,0,0,9,0.1,0.05,162
10,0,0,10,0.1,0.05,159
11,0,0,11,0.1,0.05,165
12,0,0,12,0.1,0.05,160
13,0,0,13,0.1,0.05,156
14,0,0,14,0.1,0.05,139
15,0,0,15,0.1,0.05,134
16,0,0,16,0.1,0.05,102
17,0,0,17,0.1,0.05,87
18,0,0,18,0.1,0.05,65
19,0,0,19,0.1,0.05,59
20,0,0,20,0.1,0.05,47
21,0,0,21,0.1,0.05,30
22,0,0,22,0.1,0.05,24
23,0,0,23,0.1,0.05,20
24,0,0,24,0.1,0.05,14
25,0,0,25,0.1,0.05,9
26,0,0,26,0.1,0.05,7
27,0,0,27,0.1,0.05,5
28,0,0,28,0.1,0.05,5
29,0,0,29,0.1,0.05,5
30,0,0,30,0.1,0.05,5
31,0,0,31,0.1,0.05,3
32,0,0,32,0.1,0.05,2
33,1,1,0,0.1,0.05,100
34,1,1,1,0.1,0.05,100
35,1,1,2,0.1,0.05,109
36,1,1,3,0.1,0.05,121
37,1,1,4,0.1,0.05,130
38,1,1,5,0.1,0.05,128
39,1,1,6,0.1,0.05,146
40,1,1,7,0.1,0.05,140
41,1,1,8,0.1,0.05,144
42,1,1,9,0.1,0.05,145
43,1,1,10,0.1,0.05,144
44,1,1,11,0.1,0.05,138
45,1,1,12,0.1,0.05,130
46,1,1,13,0.1,0.05,134
47,1,1,14,0.1,0.05,127
48,1,1,15,0.1,0.05,110
49,1,1,16,0.1,0.05,98
50,1,1,17,0.1,0.05,91
51,1,1,18,0.1,0.05,87
52,1,1,19,0.1,0.05,80
53,1,1,20,0.1,0.05,61
54,1,1,21,0.1,0.05,41
55,1,1,22,0.1,0.05,36
56,1,1,23,0.1,0.05,33
57,1,1,24,0.1,0.05,38
58,1,1,25,0.1,0.05,31
59,1,1,26,0.1,0.05,28
60,1,1,27,0.1,0.05,18
61,1,1,28,0.1,0.05,18
62,1,1,29,0.1,0.05,18
63,1,1,30,0.1,0.05,12
64,1,1,31,0.1,0.05,8
65,1,1,32,0.1,0.05,8
66,1,1,33,0.1,0.05,6
67,1,1,34,0.1,0.05,4
68,1,1,35,0.1,0.05,6
69,1,1,36,0.1,0.05,6
70,1,1,37,0.1,0.05,4
71,1,1,38,0.1,0.05,3
72,1,1,39,0.1,0.05,3
73,1,1,40,0.1,0.05,3
74,1,1,41,0.1,0.05,3
75,1,1,42,0.1,0.05,2
76,1,1,43,0.1,0.05,2
77,1,1,44,0.1,0.05,2
78,1,1,45,0.1,0.05,2
79,1,1,46,0.1,0.05,2
80,1,1,47,0.1,0.05,2
81,1,1,48,0.1,0.05,2
82,1,1,49,0.1,0.05,2
83,1,1,50,0.1,0.05,2
84,1,1,51,0.1,0.05,2
85,1,1,52,0.1,0.05,2
86,1,1,53,0.1,0.05,2
87,1,1,54,0.1,0.05,2
88,1,1,55,0.1,0.05,2
89,1,1,56,0.1,0.05,2
90,1,1,57,0.1,0.05,2
91,1,1,58,0.1,0.05,3
92,1,1,59,0.1,0.05,3
93,1,1,60,0.1,0.05,3
94,1,1,61,0.1,0.05,3
95,1,1,62,0.1,0.05,3
96,1,1,63,0.1,0.05,4
97,1,1,64,0.1,0.05,4
98,1,1,65,0.1,0.05,5
99,1,1,66,0.1,0.05,5
100,1,1,67,0.1,0.05,5
101,1,1,68,0.1,0.05,6
102,1,1,69,0.1,0.05,6
103,1,1,70,0.1,0.05,7
104,1,1,71,0.1,0.05,9
105,1,1,72,0.1,0.05,11
106,1,1,73,0.1,0.05,13
107,1,1,74,0.1,0.05,15
108,1,1,75,0.1,0.05,16
109,1,1,76,0.1,0.05,19
110,1,1,77,0.1,0.05,20
111,1,1,78,0.1,0.05,24
112,1,1,79,0.1,0.05,25
113,1,1,80,0.1,0.05,28
114,1,1,81,0.1,0.05,30
115,1,1,82,0.1,0.05,32
116,1,1,83,0.1,0.05,34
117,1,1,84,0.1,0.05,34
118,1,1,85,0.1,0.05,35
119,1,1,86,0.1,0.05,36
120,1,1,87,0.1,0.05,36
121,1,1,88,0.1,0.05,36
122,1,1,89,0.1,0.05,41
123,1,1,90,0.1,0.05,40
124,1,1,91,0.1,0.05,45
125,1,1,92,0.1,0.05,47
126,1,1,93,0.1,0.05,46
127,1,1,94,0.1,0.05,48
128,1,1,95,0.1,0.05,52
129,1,1,96,0.1,0.05,52
130,1,1,97,0.1,0.05,51
131,1,1,98,0.1,0.05,48
132,1,1,99,0.1,0.05,49
133,1,1,100,0.1,0.05,48
