,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.05,2.5,100
1,0,0,1,0.05,2.5,100
2,0,0,2,0.05,2.5,104
3,0,0,3,0.05,2.5,108
4,0,0,4,0.05,2.5,110
5,0,0,5,0.05,2.5,112
6,0,0,6,0.05,2.5,105
7,0,0,7,0.05,2.5,95
8,0,0,8,0.05,2.5,91
9,0,0,9,0.05,2.5,92
10,0,0,10,0.05,2.5,95
11,0,0,11,0.05,2.5,96
12,0,0,12,0.05,2.5,98
13,0,0,13,0.05,2.5,100
14,0,0,14,0.05,2.5,104
15,0,0,15,0.05,2.5,101
16,0,0,16,0.05,2.5,107
17,0,0,17,0.05,2.5,110
18,0,0,18,0.05,2.5,117
19,0,0,19,0.05,2.5,124
20,0,0,20,0.05,2.5,131
21,0,0,21,0.05,2.5,137
22,0,0,22,0.05,2.5,141
23,0,0,23,0.05,2.5,146
24,0,0,24,0.05,2.5,152
25,0,0,25,0.05,2.5,158
26,0,0,26,0.05,2.5,162
27,0,0,27,0.05,2.5,170
28,0,0,28,0.05,2.5,181
29,0,0,29,0.05,2.5,192
30,0,0,30,0.05,2.5,206
31,0,0,31,0.05,2.5,213
32,0,0,32,0.05,2.5,220
33,0,0,33,0.05,2.5,240
34,0,0,34,0.05,2.5,253
35,0,0,35,0.05,2.5,258
36,0,0,36,0.05,2.5,270
37,0,0,37,0.05,2.5,281
38,0,0,38,0.05,2.5,296
39,0,0,39,0.05,2.5,311
40,0,0,40,0.05,2.5,322
41,0,0,41,0.05,2.5,334
42,0,0,42,0.05,2.5,352
43,0,0,43,0.05,2.5,369
44,0,0,44,0.05,2.5,380
45,0,0,45,0.05,2.5,396
46,0,0,46,0.05,2.5,421
47,0,0,47,0.05,2.5,438
48,0,0,48,0.05,2.5,459
49,0,0,49,0.05,2.5,479
50,0,0,50,0.05,2.5,494
51,0,0,51,0.05,2.5,507
52,0,0,52,0.05,2.5,532
53,0,0,53,0.05,2.5,551
54,0,0,54,0.05,2.5,573
55,0,0,55,0.05,2.5,592
56,0,0,56,0.05,2.5,611
57,0,0,57,0.05,2.5,627
58,0,0,58,0.05,2.5,657
59,0,0,59,0.05,2.5,674
60,0,0,60,0.05,2.5,694
61,0,0,61,0.05,2.5,713
62,0,0,62,0.05,2.5,731
63,0,0,63,0.05,2.5,744
64,0,0,64,0.05,2.5,762
65,0,0,65,0.05,2.5,781
66,0,0,66,0.05,2.5,788
67,0,0,67,0.05,2.5,812
68,0,0,68,0.05,2.5,840
69,0,0,69,0.05,2.5,860
70,0,0,70,0.05,2.5,877
71,0,0,71,0.05,2.5,898
72,0,0,72,0.05,2.5,921
73,0,0,73,0.05,2.5,934
74,0,0,74,0.05,2.5,964
75,0,0,75,0.05,2.5,989
76,0,0,76,0.05,2.5,1000
77,0,0,77,0.05,2.5,1034
78,0,0,78,0.05,2.5,1047
79,0,0,79,0.05,2.5,1065
80,0,0,80,0.05,2.5,1087
81,0,0,81,0.05,2.5,1104
82,0,0,82,0.05,2.5,1133
83,0,0,83,0.05,2.5,1157
84,0,0,84,0.05,2.5,1180
85,0,0,85,0.05,2.5,1214
86,0,0,86,0.05,2.5,1234
87,0,0,87,0.05,2.5,1257
88,0,0,88,0.05,2.5,1280
89,0,0,89,0.05,2.5,1301
90,0,0,90,0.05,2.5,1335
91,0,0,91,0.05,2.5,1338
92,0,0,92,0.05,2.5,1346
93,0,0,93,0.05,2.5,1367
94,0,0,94,0.05,2.5,1397
95,0,0,95,0.05,2.5,1416
96,0,0,96,0.05,2.5,1462
97,0,0,97,0.05,2.5,1474
98,0,0,98,0.05,2.5,1495
99,0,0,99,0.05,2.5,1517
100,0,0,100,0.05,2.5,1526
101,1,1,0,0.05,2.5,100
102,1,1,1,0.05,2.5,100
103,1,1,2,0.05,2.5,106
104,1,1,3,0.05,2.5,108
105,1,1,4,0.05,2.5,111
106,1,1,5,0.05,2.5,113
107,1,1,6,0.05,2.5,119
108,1,1,7,0.05,2.5,121
109,1,1,8,0.05,2.5,124
110,1,1,9,0.05,2.5,121
111,1,1,10,0.05,2.5,125
112,1,1,11,0.05,2.5,130
113,1,1,12,0.05,2.5,137
114,1,1,13,0.05,2.5,140
115,1,1,14,0.05,2.5,137
116,1,1,15,0.05,2.5,139
117,1,1,16,0.05,2.5,143
118,1,1,17,0.05,2.5,150
119,1,1,18,0.05,2.5,163
120,1,1,19,0.05,2.5,168
121,1,1,20,0.05,2.5,172
122,1,1,21,0.05,2.5,178
123,1,1,22,0.05,2.5,178
124,1,1,23,0.05,2.5,182
125,1,1,24,0.05,2.5,190
126,1,1,25,0.05,2.5,196
127,1,1,26,0.05,2.5,205
128,1,1,27,0.05,2.5,212
129,1,1,28,0.05,2.5,230
130,1,1,29,0.05,2.5,242
131,1,1,30,0.05,2.5,262
132,1,1,31,0.05,2.5,275
133,1,1,32,0.05,2.5,293
134,1,1,33,0.05,2.5,304
135,1,1,34,0.05,2.5,319
136,1,1,35,0.05,2.5,322
137,1,1,36,0.05,2.5,346
138,1,1,37,0.05,2.5,359
139,1,1,38,0.05,2.5,376
140,1,1,39,0.05,2.5,388
141,1,1,40,0.05,2.5,406
142,1,1,41,0.05,2.5,424
143,1,1,42,0.05,2.5,440
144,1,1,43,0.05,2.5,460
145,1,1,44,0.05,2.5,482
146,1,1,45,0.05,2.5,503
147,1,1,46,0.05,2.5,509
148,1,1,47,0.05,2.5,530
149,1,1,48,0.05,2.5,548
150,1,1,49,0.05,2.5,567
151,1,1,50,0.05,2.5,590
152,1,1,51,0.05,2.5,612
153,1,1,52,0.05,2.5,634
154,1,1,53,0.05,2.5,654
155,1,1,54,0.05,2.5,669
156,1,1,55,0.05,2.5,697
157,1,1,56,0.05,2.5,722
158,1,1,57,0.05,2.5,739
159,1,1,58,0.05,2.5,766
160,1,1,59,0.05,2.5,783
161,1,1,60,0.05,2.5,797
162,1,1,61,0.05,2.5,814
163,1,1,62,0.05,2.5,834
164,1,1,63,0.05,2.5,849
165,1,1,64,0.05,2.5,863
166,1,1,65,0.05,2.5,891
167,1,1,66,0.05,2.5,924
168,1,1,67,0.05,2.5,949
169,1,1,68,0.05,2.5,981
170,1,1,69,0.05,2.5,988
171,1,1,70,0.05,2.5,1005
172,1,1,71,0.05,2.5,1023
173,1,1,72,0.05,2.5,1049
174,1,1,73,0.05,2.5,1080
175,1,1,74,0.05,2.5,1098
176,1,1,75,0.05,2.5,1117
177,1,1,76,0.05,2.5,1135
178,1,1,77,0.05,2.5,1156
179,1,1,78,0.05,2.5,1174
180,1,1,79,0.05,2.5,1195
181,1,1,80,0.05,2.5,1203
182,1,1,81,0.05,2.5,1229
183,1,1,82,0.05,2.5,1254
184,1,1,83,0.05,2.5,1282
185,1,1,84,0.05,2.5,1314
186,1,1,85,0.05,2.5,1348
187,1,1,86,0.05,2.5,1372
188,1,1,87,0.05,2.5,1395
189,1,1,88,0.05,2.5,1414
190,1,1,89,0.05,2.5,1429
191,1,1,90,0.05,2.5,1445
192,1,1,91,0.05,2.5,1460
193,1,1,92,0.05,2.5,1472
194,1,1,93,0.05,2.5,1493
195,1,1,94,0.05,2.5,1497
196,1,1,95,0.05,2.5,1519
197,1,1,96,0.05,2.5,1535
198,1,1,97,0.05,2.5,1563
199,1,1,98,0.05,2.5,1583
200,1,1,99,0.05,2.5,1594
201,1,1,100,0.05,2.5,1610
