,RunId,iteration,Step,reproduce_prob,growback_factor,SsAgent
0,0,0,0,0.05,0.1,100
1,0,0,1,0.05,0.1,100
2,0,0,2,0.05,0.1,107
3,0,0,3,0.05,0.1,116
4,0,0,4,0.05,0.1,119
5,0,0,5,0.05,0.1,113
6,0,0,6,0.05,0.1,111
7,0,0,7,0.05,0.1,103
8,0,0,8,0.05,0.1,97
9,0,0,9,0.05,0.1,99
10,0,0,10,0.05,0.1,98
11,0,0,11,0.05,0.1,97
12,0,0,12,0.05,0.1,99
13,0,0,13,0.05,0.1,96
14,0,0,14,0.05,0.1,97
15,0,0,15,0.05,0.1,101
16,0,0,16,0.05,0.1,102
17,0,0,17,0.05,0.1,102
18,0,0,18,0.05,0.1,99
19,0,0,19,0.05,0.1,97
20,0,0,20,0.05,0.1,93
21,0,0,21,0.05,0.1,89
22,0,0,22,0.05,0.1,91
23,0,0,23,0.05,0.1,90
24,0,0,24,0.05,0.1,92
25,0,0,25,0.05,0.1,95
26,0,0,26,0.05,0.1,94
27,0,0,27,0.05,0.1,89
28,0,0,28,0.05,0.1,88
29,0,0,29,0.05,0.1,88
30,0,0,30,0.05,0.1,90
31,0,0,31,0.05,0.1,83
32,0,0,32,0.05,0.1,76
33,0,0,33,0.05,0.1,71
34,0,0,34,0.05,0.1,69
35,0,0,35,0.05,0.1,66
36,0,0,36,0.05,0.1,66
37,0,0,37,0.05,0.1,69
38,0,0,38,0.05,0.1,69
39,0,0,39,0.05,0.1,67
40,0,0,40,0.05,0.1,63
41,0,0,41,0.05,0.1,66
42,0,0,42,0.05,0.1,68
43,0,0,43,0.05,0.1,65
44,0,0,44,0.05,0.1,62
45,0,0,45,0.05,0.1,63
46,0,0,46,0.05,0.1,67
47,0,0,47,0.05,0.1,71
48,0,0,48,0.05,0.1,73
49,0,0,49,0.05,0.1,73
50,0,0,50,0.05,0.1,69
51,0,0,51,0.05,0.1,71
52,0,0,52,0.05,0.1,72
53,0,0,53,0.05,0.1,75
54,0,0,54,0.05,0.1,79
55,0,0,55,0.05,0.1,82
56,0,0,56,0.05,0.1,80
57,0,0,57,0.05,0.1,80
58,0,0,58,0.05,0.1,80
59,0,0,59,0.05,0.1,77
60,0,0,60,0.05,0.1,75
61,0,0,61,0.05,0.1,74
62,0,0,62,0.05,0.1,75
63,0,0,63,0.05,0.1,75
64,0,0,64,0.05,0.1,71
65,0,0,65,0.05,0.1,67
66,0,0,66,0.05,0.1,67
67,0,0,67,0.05,0.1,67
68,0,0,68,0.05,0.1,64
69,0,0,69,0.05,0.1,62
70,0,0,70,0.05,0.1,59
71,0,0,71,0.05,0.1,57
72,0,0,72,0.05,0.1,58
73,0,0,73,0.05,0.1,54
74,0,0,74,0.05,0.1,51
75,0,0,75,0.05,0.1,52
76,0,0,76,0.05,0.1,54
77,0,0,77,0.05,0.1,54
