,SsAgent,Average,Oscillation
0,100,0.0,0.0
1,100,100.0,0.0
2,109,104.5,0.0
3,115,108.0,0.0
4,123,111.75,0.0
5,135,116.4,0.0
6,141,120.5,0.0
7,152,125.0,0.0
8,165,130.0,0.0
9,178,135.33333333333334,0.0
10,185,140.3,0.0
11,184,144.27272727272728,0.0
12,187,147.83333333333334,0.0
13,185,150.69230769230768,0.0
14,167,151.85714285714286,0.0
15,125,150.06666666666666,24.657172671523124
16,117,148.0,26.075482545180332
17,109,145.7058823529412,27.386977242761862
18,100,143.16666666666666,28.710276021746104
19,90,140.3684210526316,30.062514962661094
20,77,137.2,31.56708992526626
21,68,133.9047619047619,32.90107545532356
22,55,130.3181818181818,34.285857654098635
23,48,126.73913043478261,35.45565014670464
24,30,122.70833333333333,36.82731350847349
25,22,118.68,38.0280070534157
26,17,114.76923076923077,39.02857228116669
27,16,111.11111111111111,39.79332507353693
28,12,107.57142857142857,40.44717718221466
29,9,104.17241379310344,40.99754851174045
30,9,101.0,41.41511396720177
31,11,98.09677419354838,41.69628554017153
32,11,95.375,41.900892455736006
33,11,92.81818181818181,42.04432154286562
34,14,90.5,42.096456903867555
35,16,88.37142857142857,42.08696040376584
36,16,86.36111111111111,42.051981499100584
37,19,84.54054054054055,41.95948649623716
38,19,82.8157894736842,41.853702205695
39,25,81.33333333333333,41.669128491588836
40,28,80.0,41.44928962936562
41,33,78.85365853658537,41.17770225455429
42,38,77.88095238095238,40.86063976899656
43,45,77.11627906976744,40.483088322925234
44,52,76.54545454545455,40.05116197154161
45,57,76.11111111111111,39.58917870421021
46,64,75.84782608695652,39.080748426165286
47,72,75.76595744680851,38.520005679971725
48,80,75.85416666666667,37.44035094595346
49,90,76.14285714285714,36.97501348742336
50,97,76.56,36.88206013948218
51,104,76.64,37.117418646381424
52,117,76.8,37.87648506463143
53,127,77.04,38.9321838602246
54,137,77.32,40.2168504575879
55,150,77.62,41.774955461142994
56,151,77.82,43.17311385368917
57,155,77.88,44.52902584237259
58,151,77.6,45.641364915135256
59,125,76.54,46.01126740877153
60,93,74.7,45.6080239739989
61,66,72.34,45.00281084018748
62,60,69.8,44.46244561674648
63,36,66.82,44.17130410663032
64,16,63.8,44.071510060279266
65,14,61.58,43.97452125128143
66,14,59.52,43.8618396539714
67,12,57.58,43.75510616952255
68,12,55.82,43.63661593493246
69,12,54.26,43.508957297443075
70,14,53.0,43.357169166699606
71,14,51.92,43.20212512159476
72,14,51.1,43.046254115309736
73,15,50.44,42.88232574710973
74,15,50.14,42.72224371168012
75,18,50.06,42.542632408326206
76,20,50.12,42.3537475628837
77,25,50.3,42.13274214941209
78,27,50.6,41.905785230685794
79,30,51.02,41.666152787818056
80,33,51.5,41.414741068430736
81,33,51.94,41.174554390339885
82,39,52.5,40.900676643652886
83,46,53.2,40.58773697925223
84,48,53.88,40.27369861866309
85,55,54.66,39.55530962183839
86,65,55.64,39.06490094761731
87,73,56.72,38.743828990148245
88,75,57.84,38.45865286938412
89,85,59.04,38.360734431008936
90,93,60.34,38.394855023908804
91,109,61.86,38.690380379189506
92,121,63.52,39.14737761309235
93,137,65.36,39.810497180585166
94,153,67.38,40.65006647221395
95,154,69.32,41.41551312975405
96,160,71.24,42.188038770646045
97,157,72.94,42.84369425762895
98,146,74.26,43.29295537153171
99,108,74.62,43.21535125007672
100,73,74.14,42.85016524757782
